iso3,gid_id,pop_est,income_group,continent,area_km2,total_pop
BGD,BGD.1.1_1,795613.7148243053,LMC,Asia,1467.7702907909202,943843.2266426086
BGD,BGD.1.2_1,1721601.3347683654,LMC,Asia,2240.327211046469,2278734.9089183807
BGD,BGD.1.3_1,1526168.921848225,LMC,Asia,1800.2071350317074,1788499.316236496
BGD,BGD.1.4_1,606443.7662002078,LMC,Asia,819.6612086459363,741143.8629150391
BGD,BGD.1.5_1,1373718.549626466,LMC,Asia,2537.3911573196674,1592727.5946865082
BGD,BGD.1.6_1,1001445.2050835156,LMC,Asia,1418.9098059519713,1204884.0786132812
BGD,BGD.2.3_1,738040.1877348054,LMC,Asia,609.2705886933677,2620363.69879055
BGD,BGD.2.4_1,2478482.301386141,LMC,Asia,1513.8458506809484,8665786.676912308
BGD,BGD.2.5_1,857266.3302858961,LMC,Asia,637.2643145142213,6286756.094139099
BGD,BGD.2.6_1,1049280.4038769382,LMC,Asia,866.7571839827219,2725789.3437395096
BGD,BGD.2.7_1,39101.68284658385,LMC,Asia,58.61787815282776,1713928.215538025
BGD,BGD.2.9_1,438876.06699682033,LMC,Asia,408.3971569145033,2145023.850449562
BGD,BGD.2.10_1,589075.4405963569,LMC,Asia,1005.1745907655704,3651872.2602119446
BGD,BGD.3.2_1,566228.0261558834,LMC,Asia,822.7716006944484,2183784.787770748
BGD,BGD.3.4_1,865523.0221828165,LMC,Asia,1462.917241807425,1254258.1956939695
BGD,BGD.3.7_1,1058059.5116392665,LMC,Asia,1261.867396830399,1315984.2412843704
BGD,BGD.3.9_1,1330223.6723665562,LMC,Asia,970.4055118769072,1693388.5542984009
BGD,BGD.3.11_1,3098369.4284552694,LMC,Asia,696.3290285725845,4133577.917470932
BGD,BGD.3.15_1,762730.1981480905,LMC,Asia,985.9554992112546,1260744.1678962708
BGD,BGD.4.1_1,1296293.5557462724,LMC,Asia,4142.45237746521,1498641.6539447308
BGD,BGD.4.3_1,602429.4116699583,LMC,Asia,733.4150045634037,3218352.930149555
BGD,BGD.4.5_1,2104248.1092106006,LMC,Asia,4006.742738873974,2389850.219238281
BGD,BGD.4.9_1,590370.3907525764,LMC,Asia,991.9879918759768,853739.0927352905
BGD,BGD.4.10_1,1692105.4278301203,LMC,Asia,3558.7337591188025,2117960.129668653
