iso3,gid_id,pop_est,income_group,continent,area_km2,total_pop
BGD,BGD.1.1_1,796929.0202138389,LMC,Asia,1473.1149786904411,943843.2266426086
BGD,BGD.1.2_1,1860187.748575834,LMC,Asia,2325.461707077765,2278734.9089183807
BGD,BGD.1.3_1,1570748.69955296,LMC,Asia,1826.046427890729,1788499.316236496
BGD,BGD.1.4_1,610932.3272937963,LMC,Asia,827.1255483564182,741143.8629150391
BGD,BGD.1.5_1,1375567.1725697988,LMC,Asia,2542.8340134227924,1592727.5946865082
BGD,BGD.1.6_1,1010792.2569856044,LMC,Asia,1422.6300152085196,1204884.0786132812
BGD,BGD.2.3_1,905629.274639637,LMC,Asia,706.5095717041255,2620363.69879055
BGD,BGD.2.4_1,3268918.382511273,LMC,Asia,1791.5433923353553,8665786.676912308
BGD,BGD.2.5_1,921192.7485100128,LMC,Asia,688.578112878898,6286756.094139099
BGD,BGD.2.6_1,1143517.9254901027,LMC,Asia,924.6731863604656,2725789.3437395096
BGD,BGD.2.7_1,59728.46549939476,LMC,Asia,81.51857107379145,1713928.215538025
BGD,BGD.2.9_1,573315.1134880591,LMC,Asia,524.0340260157438,2145023.850449562
BGD,BGD.2.10_1,673609.626451666,LMC,Asia,1148.302274252328,3651872.2602119446
BGD,BGD.3.2_1,739540.3602448313,LMC,Asia,1030.9695585783363,2183784.787770748
BGD,BGD.3.4_1,913627.850963888,LMC,Asia,1540.7379060194662,1254258.1956939695
BGD,BGD.3.7_1,1100221.0686510387,LMC,Asia,1303.9084565537346,1315984.2412843704
BGD,BGD.3.9_1,1368965.3568676645,LMC,Asia,987.3762815484496,1693388.5542984009
BGD,BGD.3.11_1,3240445.6158479312,LMC,Asia,729.1900704692387,4133577.917470932
BGD,BGD.3.15_1,886076.6626043094,LMC,Asia,1106.094410625019,1260744.1678962708
BGD,BGD.4.1_1,1307879.813445679,LMC,Asia,4172.235638360141,1498641.6539447308
BGD,BGD.4.3_1,657898.575190174,LMC,Asia,800.7045265445804,3218352.930149555
BGD,BGD.4.5_1,2106062.978981641,LMC,Asia,4010.3904973061135,2389850.219238281
BGD,BGD.4.9_1,618046.6984287396,LMC,Asia,1031.9242634778448,853739.0927352905
BGD,BGD.4.10_1,1724445.2869081595,LMC,Asia,3596.938982227965,2117960.129668653
