iso3,gid_id,pop_est,income_group,continent,area_km2,total_pop,, total_vul_pop ,,
BGD,BGD.3.4_1,927922.8196,LMC,Asia,1560.412275,1254258.196,,,,
BGD,BGD.3.7_1,1105680.489,LMC,Asia,1309.378701,1315984.241,,,,
BGD,BGD.3.9_1,1374339.899,LMC,Asia,990.192543,1693388.554,,,,
BGD,BGD.3.11_1,3271187.647,LMC,Asia,737.7814895,4133577.917,,,,
BGD,BGD.3.15_1,900542.1796,LMC,Asia,1122.05816,1260744.168,,,,
BGD,BGD.4.1_1,1311193.484,LMC,Asia,4181.342406,1498641.654,,,,
BGD,BGD.4.3_1,675438.1186,LMC,Asia,821.5388311,3218352.93,,,,
BGD,BGD.4.5_1,2106252.121,LMC,Asia,4016.209562,2389850.219,,,,
BGD,BGD.4.9_1,620163.3109,LMC,Asia,1035.237764,853739.0927,,,,
BGD,BGD.4.10_1,1734291.63,LMC,Asia,3607.613507,2117960.13,,,,
BRA,BRA.2_1,7303.970967,UMC,South America,96.93378177,3494345.02,," 438,187.64 ",,
BRA,BRA.3_1,21743.63372,UMC,South America,5242.195756,948125.113,,,,
BRA,BRA.5_1,12917.18265,UMC,South America,336.482143,15078180.98,,,,
BRA,BRA.6_1,8010.499965,UMC,South America,89.5057216,9582977.463,,,,
BRA,BRA.8_1,82629.06785,UMC,South America,119.6131738,3913147.652,,,,
BRA,BRA.10_1,47110.2999,UMC,South America,1687.007065,7819993.558,,,,
BRA,BRA.14_1,160276.8733,UMC,South America,5856.216907,9732442.46,,,,
BRA,BRA.15_1,3128.180136,UMC,South America,14.91597768,4143829.024,,,,
BRA,BRA.16_1,1417.156572,UMC,South America,170.2416661,11543869.48,,,,
BRA,BRA.17_1,915.1374217,UMC,South America,25.13208826,9918212.443,,,,
BRA,BRA.18_1,4539.007032,UMC,South America,110.0358047,3484362.228,,,,
BRA,BRA.19_1,1979.004836,UMC,South America,25.21545982,17635257.57,,,,
BRA,BRA.20_1,23761.02331,UMC,South America,487.4510711,3665029.5,,,,
BRA,BRA.21_1,966.5410806,UMC,South America,68.55749741,11301949.86,,,,
BRA,BRA.24_1,11914.06922,UMC,South America,334.9279581,6947075.2,,,,
BRA,BRA.25_1,31545.32294,UMC,South America,42.20736289,45146572.85,,,,
BRA,BRA.26_1,18030.66952,UMC,South America,198.1443799,2432595.44,,,,
CHN,CHN.4.1_1,260979.9813,UMC,Asia,305.0550688,7374271.29,," 81,377,918.88 ",,
CHN,CHN.4.4_1,41345.04673,UMC,Asia,55.81642246,2619572.342,,,,
CHN,CHN.4.5_1,471623.3429,UMC,Asia,274.8559204,2751114.236,,,,
CHN,CHN.4.6_1,458776.5862,UMC,Asia,209.2018781,8996236.197,,,,
CHN,CHN.4.8_1,235452.8862,UMC,Asia,97.29711144,6039634.386,,,,
CHN,CHN.4.9_1,373721.374,UMC,Asia,295.3865044,4787926.247,,,,
CHN,CHN.6.1_1,912728.9644,UMC,Asia,422.8747889,2979639.776,,,,
CHN,CHN.6.2_1,2048752.911,UMC,Asia,744.3096557,9709266.292,,,,
CHN,CHN.6.3_1,5078725.736,UMC,Asia,1898.237138,10010039.96,,,,
CHN,CHN.6.4_1,2539872.826,UMC,Asia,1322.246816,16717744.22,,,,
CHN,CHN.6.6_1,151894.3733,UMC,Asia,85.92566355,6593467.169,,,,
CHN,CHN.6.7_1,1507934.44,UMC,Asia,1838.917597,5033659.857,,,,
CHN,CHN.6.8_1,1701682.971,UMC,Asia,654.9763944,6768658.78,,,,
CHN,CHN.6.9_1,332814.6919,UMC,Asia,300.1444602,6533544.146,,,,
CHN,CHN.6.12_1,2762205.184,UMC,Asia,998.0572541,6318669.709,,,,
CHN,CHN.6.13_1,565458.7725,UMC,Asia,648.9339408,3516441.333,,,,
CHN,CHN.6.15_1,1571884.994,UMC,Asia,127.2286841,15319796.3,,,,
CHN,CHN.6.16_1,539334.2918,UMC,Asia,705.007303,2693533.299,,,,
CHN,CHN.6.18_1,1848465.474,UMC,Asia,2199.874035,7905649.893,,,,
CHN,CHN.6.19_1,177120.3985,UMC,Asia,269.9909061,4600363.015,,,,
CHN,CHN.6.20_1,2088784.596,UMC,Asia,1347.213358,3851042.177,,,,
CHN,CHN.6.21_1,641838.3259,UMC,Asia,792.8312891,1918796.647,,,,
CHN,CHN.7.2_1,220769.8015,UMC,Asia,538.7137298,1658317.639,,,,
CHN,CHN.7.4_1,90665.17375,UMC,Asia,219.8406764,1013618.368,,,,
CHN,CHN.7.12_1,145750.145,UMC,Asia,284.1316076,3308632.236,,,,
CHN,CHN.9.1_1,562467.8309,UMC,Asia,271.812164,2778950.578,,,,
CHN,CHN.9.2_1,194758.7765,UMC,Asia,489.9670458,6329130.816,,,,
CHN,CHN.9.3_1,10996.09819,UMC,Asia,13.96046016,922065.6659,,,,
CHN,CHN.10.2_1,128895.4446,UMC,Asia,874.5687737,7837650.01,,,,
CHN,CHN.10.7_1,582574.8196,UMC,Asia,419.3642151,3283810.34,,,,
CHN,CHN.10.9_1,349712.3627,UMC,Asia,2428.969493,8244896.551,,,,
CHN,CHN.15.1_1,96373.56051,UMC,Asia,102.6502792,5757762.661,,,,
CHN,CHN.15.2_1,63069.37205,UMC,Asia,184.4441894,4670818.631,,,,
CHN,CHN.15.3_1,1420053.46,UMC,Asia,3823.911267,4290452.108,,,,
CHN,CHN.15.4_1,562913.2107,UMC,Asia,672.7655864,10564642.53,,,,
CHN,CHN.15.5_1,2651877.921,UMC,Asia,3857.985217,7074518.773,,,,
